('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954620 function calls (927560 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      769    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.006    0.006 service.py:200(_start_process)
        7    0.000    0.000    0.002    0.000 connection.py:418(request)
       11    0.000    0.000    0.000    0.000 {function socket.close at 0x109043f60}
       58    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
       47    0.000    0.000    0.000    0.000 client.py:1294(putheader)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       49    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
      417    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      340    0.000    0.000    0.161    0.000 __init__.py:287(compile)
      170    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      768    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      128    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
        9    0.000    0.000    0.292    0.032 webdriver.py:1(<module>)
      576    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       13    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       94    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      228    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       75    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
       10    0.000    0.000    0.001    0.000 _collections.py:335(extend)
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        5    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
        7    0.000    0.000    0.002    0.000 response.py:602(__init__)
        5    0.000    0.000    2.484    0.497 remote_connection.py:381(execute)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        8    0.000    0.000    0.003    0.000 parser.py:56(parsestr)
      432    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      151    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      460    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      520    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        8    0.000    0.000    2.636    0.329 client.py:324(begin)
      182    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
  255/165    0.000    0.000    0.009    0.000 typing.py:574(__getitem__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      470    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      100    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        7    0.000    0.000    2.837    0.405 connectionpool.py:377(_make_request)
      452    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        6    0.000    0.000    0.014    0.002 utils.py:1(<module>)
       27    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
        5    0.000    0.000    2.483    0.497 remote_connection.py:406(_request)
      631    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       26    0.000    0.000    0.000    0.000 contextlib.py:552(_push_exit_callback)
        2    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        9    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
     1010    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        8    0.000    0.000    0.001    0.000 client.py:1138(putrequest)
       91    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        8    0.000    0.000    2.632    0.329 client.py:291(_read_status)
      553    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       39    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        7    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
      818    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        8    0.000    0.000    0.003    0.000 client.py:231(_parse_header_lines)
        8    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       66    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       63    0.000    0.000    0.000    0.000 message.py:498(get)
       15    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
       11    0.000    0.000    0.005    0.000 response.py:889(_raw_read)
      279    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       12    0.000    0.000    0.000    0.000 idna.py:179(encode)
      226    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
  138/109    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
       13    0.000    0.000    0.001    0.000 _collections.py:240(__init__)
       75    0.000    0.000    0.000    0.000 _collections.py:300(add)
